737,676,467,15
737.75,677,461,16
738,674.75,470,16
739,674.25,428,16.75
729.25,667,449.5,15
735,667,454.5,19.75
733.75,670.5,455,16
729,666.25,419.5,17
735,663,422,16
737,661,386,17
728,658.25,367,17
731,653,424,17
734,659,437,17
725.25,654.5,399.5,16.75
728,649,335,16
726,637.25,335.5,17
717.5,646.25,386.5,16
723,630,375,15
718.25,626,99.75,17
717,628.75,364,15.25
714,625,318.5,19
715,611.75,290,18
709,612,208,18
706,613.75,235.25,16
705,598.75,175.5,15.75
698.5,598,98.5,17
698,584,43,17
693,574.75,95.5,15
685,578.5,115.25,15
686,569.25,62.5,17.5
682,565.5,52,16
681,555.5,53,16
681.5,538,64,17.75
669,546.5,45,17
662,532,42.25,14
659,528,41,16
649,521.5,52.5,17.25
645.75,504,47.25,16
645,505,43.5,16
639,490,61,15
633,489,41,15
642,464.75,39.75,17
620.75,475.75,45,19
623,478,36,17
608.75,463,31,16
605,446.5,29.75,17.5
599.5,438.5,30.5,16
597.25,442,29,18
596,426,37,16
582,418.5,24,18
580,408,32,16
578,419.5,32.75,14.75
564.5,405.5,45,15
558,397,25,15
552.5,390,21,14
544.5,386,27,16
552,389,30,20
527.75,369.5,30,16.75
524.5,357,24.25,16
529,307,23,19
524,291,34,16
520,309.5,31.5,15
520,322.5,33,14.75
511,216.5,25,15
506,293.75,24,15.75
495,283,28,16
489,266.75,24,15
470.75,203,26.5,16
475.75,161,25,16
463,233.75,24.75,16
459,216,22,16.25
451,264,25,18
462,88.75,23.75,16
467,158.5,30,16
446.25,178,23,15
449.25,151,25.75,16
426.25,85,21,15
417,123,20,15
423,53.25,24,16
427,183,25,16
