727,616,338,5
727,618,362,5
726,612,322.5,5
720.5,616,349,6
726,611,338.5,5
723,611,320.5,6
720,604,313.5,5
723,609,290.5,5
717,603,311,5
717,605,317,5
714,591,294.5,6
711,597,326,6
718,597,306,5
706,587,287.5,5
705,580.5,282,5
701,582,291,5
700,575,268.5,5
697,572,246.5,6
697,564,270.5,5
695.5,564.5,249,5
691,557,235.5,5
692,550,77.5,7
677,543,200,6
678,539,195.5,5
675,537,32.5,5
672.5,530,41,6
666.5,526,87,5
659.5,519,38,5
659.5,513.5,163,6
651,501,48,6
644,494.5,33.5,6
646,488.5,31.5,5
639,486,40,5
629,481,80.5,5
634,478,50,6
619.5,467.5,25.5,5
616,443,17,5
617,460.5,18.5,5
603,448.5,25,5.5
600,439.5,20,6
592.5,430.5,38.5,5
594,411.5,23,6
595,427.5,20.5,6
576,411,22,4
578,394,15.5,5
569.5,413.5,22.5,6
562,395.5,13,6
552.5,377,23.5,5
556,388.5,13,6
550,374.5,11,5
541,355,11,5
540.5,375.5,14,5
535,352,20,5
513,348.5,13.5,5
513,341,12,5
519,331.5,15,6
510.5,310.5,17,5
500,320.5,14,5
498,72.5,11,5
494,323,14,5
488,295.5,12,5
489.5,291.5,13,5
477,293,13,6
481,148,9,5
471.5,280,20,5
465,275,12,5
458,240.5,9,5
458.5,210,12.5,5
457,47.5,9.5,6
437.5,127.5,11.5,6
451,99.5,12.5,5.5
433,209.5,13,6
430,202.5,10,6
418,178,10,5.5
415.5,100,9.5,5
408.5,152,12,6
408.5,32,14,5
408.5,160.5,15,5
414.5,64,9,6
401,147,10,5
382,46.5,11,6
386.5,98.5,10,6
394,54.5,10.5,5
374,21.5,8,6
384,112,9.5,6
371,49.5,10,6
358.5,56,9,5
362,25.5,8,5
329.5,25,8,5
359.5,49,10,5
351.5,35.5,7,6
312,16.5,9,6
337,23,10,5
336.5,20,10,6
313,25,8,5.5
294.5,20,10,6
307.5,25,8,5
299.5,32.5,7,5
322,27.5,8,5
300.5,26.5,9,7
204.5,34,8,5
243,21,8,6
279.5,24.5,8,5
112,21.5,9,5
272.5,62,11,5
247,14.5,9,6
78.5,19,8,5
80.5,19.5,7.5,5
235,15,11,5
138.5,18.5,9,5
95.5,12.5,7,5
194.5,12,8,6
196.5,15,9,6
113.5,15,8,6
242.5,23.5,13,5.5
57.5,16,7,5
175,16,8.5,6
130.5,14,10,5
136,17,10,5
50,16,9,5
