737,675,454,16
738.75,670,452,18
738,676,458.5,18
731.75,678,454.25,17
739,675.75,421.5,17.75
732,671,459.25,18
737,672.5,435.5,16
735.5,665.75,461,17
733,666,435.5,18
732,669,421,17
736,668,414.5,17.5
734,666,448,16
729,657,403,19
729,657,380.5,19.25
731.25,663,417,16
724,657,378,17
725,649,371,15
724,641,364.25,15
722,641.25,364.75,16
718,638,391,17
717,629,325,16.25
717,629,326,20
717,632,48,19
713,622,293.25,15
715,614,330,21
707.5,618,275.75,16
702,619.25,293,15
703,599.25,119.75,17
695,603,247.5,17
701,592.5,224,15
699,587,55.75,13.75
693,575,58,15
688,587,40.25,16
684.25,580,63.25,15
681.5,563,54,18
678.5,563,41,17
681,564.75,42.5,17.75
674,550.75,32,15
672,552.25,63,15.5
666,540.75,71,15
664,543.5,60.5,15
656,519.75,41,16.75
654.5,526,42,14
655,527,31,18
641,523.5,44,17.25
641,517,39.75,14
646,485,40,15
637.75,498,47.25,16
630,494,36.75,18
632,506,35,17
627.75,491,50.25,16
620,478,32,14
620.25,472,25,16
620.25,448,31.5,17
604.25,427.75,33,16
611,454,27,16
601,449.5,39.5,16
595.5,444.75,32,15
592,428,26.75,17
589,422.25,29.5,16
580.25,428,23,16
575,404.25,35.25,18
575.5,370,29,16
566,393,33,14
576.75,383,26,16
568.25,372.5,31.25,18
558,330.75,35,17
560.75,359,29,15
564,407.5,28,17
546.75,374,26.75,17
548,367,23.5,18
552.5,74.75,37,16
546.5,253.5,24,17
530.75,203.5,32,19
519.25,244.5,27,14
514,141,33.25,16
522,203,25.25,16
517,277,21.5,15
517,105.5,25.5,17
511.25,158,22,17
499,60,22,15
503.5,58.75,22.75,15
511,91,24.25,18
478.25,129,26.25,15
485.5,120.25,21,14
502.25,118.75,19,16
489.25,75.75,25,19
468,77.5,23,16
470.75,87.25,21,17
487.25,29,25,17
481.25,62.5,24,19
446,92.5,22.25,17.75
447.75,66.5,22,16
452,59,20,17
417.25,33.5,27.5,15
450.25,48.25,25.75,14
455.75,52.5,21.75,16
393,37.25,22,18
411,40,28,18
404.25,38.5,25,18
433,40,20,13
399.5,35.75,23,18
338.5,62.5,20,16
374.5,39,26,15
400,61.5,21.25,19
364.25,39,19,14
343.5,44.75,25,17
328,40,23,15.75
365.25,62.75,19.5,16
240,59.5,19.75,15
374.25,38,18.5,15.5
310,59.25,19.75,16
314,35.75,24,15
212,44,21.75,19.25
313,48.75,24.5,15
259,38.25,16.5,16
320.5,49.5,23,16
150.5,25.5,23,18
356.5,21,20,15.25
272,38.5,22,15
